Accession_Name	Description	Synonyms	Availability	Shape	Size	Height	Width	Ribbing	Ground_Colour	Over_Colour	Over_Colour_P	Crunch	Flesh_Colour	Flowering	Picking	Russet	Crown	Coarseness
Cox's Orange Pippin (LA 79)	Raised in about 1825 by Richard Cox at Colnbrook Lawn, Slough, Buckinghamshire and introduced by Charles Turner in about 1850. It received a First Class Certificate from the Royal Horticultural Society in 1962. Fruits are juicy and sweet with a rich, aromatic, nutty flavour.	Apelsinnyi renet, Aranciata di Cox, Cos Orange, Cox, Cox Narancs Renet, Cox Orange, Cox Orange Pippin, Cox Orangen Pippin, Cox Orangen Reinette, Cox Orangen Renette, Cox' Orangen, Cox' Orangen-renette, Cox's Orange, Cox's Orange Pepping, Cox's Orange Reinette, Cox's Orange-Peppin, Cox's Orange-Pippeling, Cox's Orangen Pippin, Cox's Orangen Reinette, Cox's Orangen-Reinette, Cox's Pomeranzen Pepping, Cox's Pomeranzen-pepping, Coxova Reneta, Kemp's Orange, Kempe's Orange, Koksa Pomaranczowa, Koksova oranjeva reneta, Orange de Cox, Oranjevii renet, Peppeling Cox Orange, Pomaranczowe Coxa, Reinette Cox's Orangen, Reinette Orange, Reinette Orange de Cox, Renet Coksa, Renet Cox Portocaliu, Renet Coxa, Renet Portocaliu, Reneta Coxa pomaranzowa, Russet Pippin, Verbesserte Muscat Reinette, Verbesserte Muscat-Reinette	Material available from the National Fruit Collection.	Truncate conical	medium	56.00	62.00	absent	Yellow	Brown	striped			""				
Cox's Orange Pippin (LA)	Raised in about 1825 by Richard Cox at Colnbrook Lawn, Slough, Buckinghamshire and introduced by Charles Turner in about 1850. It received a First Class Certificate from the Royal Horticultural Society in 1962. Fruits are juicy and sweet with a rich, aromatic, nutty flavour.	Apelsinnyi renet, Aranciata di Cox, Cos Orange, Cox, Cox Narancs Renet, Cox Orange, Cox Orange Pippin, Cox Orangen Pippin, Cox Orangen Reinette, Cox Orangen Renette, Cox' Orangen, Cox' Orangen-renette, Cox's Orange, Cox's Orange Pepping, Cox's Orange Reinette, Cox's Orange-Peppin, Cox's Orange-Pippeling, Cox's Orangen Pippin, Cox's Orangen Reinette, Cox's Orangen-Reinette, Cox's Pomeranzen Pepping, Cox's Pomeranzen-pepping, Coxova Reneta, Kemp's Orange, Kempe's Orange, Koksa Pomaranczowa, Koksova oranjeva reneta, Orange de Cox, Oranjevii renet, Peppeling Cox Orange, Pomaranczowe Coxa, Reinette Cox's Orangen, Reinette Orange, Reinette Orange de Cox, Renet Coksa, Renet Cox Portocaliu, Renet Coxa, Renet Portocaliu, Reneta Coxa pomaranzowa, Russet Pippin, Verbesserte Muscat Reinette, Verbesserte Muscat-Reinette	Material available from the National Fruit Collection.	Truncate conical	medium	56.00	62.00	absent	Yellow	Brown	striped			9th May10% flowering, 13th MayFull (80%) flowering, 20th May90% petal fall	Late September			
Cox's Orange Pippin (M 124)	Raised in about 1825 by Richard Cox at Colnbrook Lawn, Slough, Buckinghamshire and introduced by Charles Turner in about 1850. It received a First Class Certificate from the Royal Horticultural Society in 1962. Fruits are juicy and sweet with a rich, aromatic, nutty flavour.	Apelsinnyi renet, Aranciata di Cox, Cos Orange, Cox, Cox Narancs Renet, Cox Orange, Cox Orange Pippin, Cox Orangen Pippin, Cox Orangen Reinette, Cox Orangen Renette, Cox' Orangen, Cox' Orangen-renette, Cox's Orange, Cox's Orange Pepping, Cox's Orange Reinette, Cox's Orange-Peppin, Cox's Orange-Pippeling, Cox's Orangen Pippin, Cox's Orangen Reinette, Cox's Orangen-Reinette, Cox's Pomeranzen Pepping, Cox's Pomeranzen-pepping, Coxova Reneta, Kemp's Orange, Kempe's Orange, Koksa Pomaranczowa, Koksova oranjeva reneta, Orange de Cox, Oranjevii renet, Peppeling Cox Orange, Pomaranczowe Coxa, Reinette Cox's Orangen, Reinette Orange, Reinette Orange de Cox, Renet Coksa, Renet Cox Portocaliu, Renet Coxa, Renet Portocaliu, Reneta Coxa pomaranzowa, Russet Pippin, Verbesserte Muscat Reinette, Verbesserte Muscat-Reinette	Material available from the National Fruit Collection.	Truncate conical	medium	56.00	62.00	absent	Yellow	Brown	striped			""				
Cox's Orange Pippin (Otago)	Raised in about 1825 by Richard Cox at Colnbrook Lawn, Slough, Buckinghamshire and introduced by Charles Turner in about 1850. It received a First Class Certificate from the Royal Horticultural Society in 1962. Fruits are juicy and sweet with a rich, aromatic, nutty flavour.	Apelsinnyi renet, Aranciata di Cox, Cos Orange, Cox, Cox Narancs Renet, Cox Orange, Cox Orange Pippin, Cox Orangen Pippin, Cox Orangen Reinette, Cox Orangen Renette, Cox' Orangen, Cox' Orangen-renette, Cox's Orange, Cox's Orange Pepping, Cox's Orange Reinette, Cox's Orange-Peppin, Cox's Orange-Pippeling, Cox's Orangen Pippin, Cox's Orangen Reinette, Cox's Orangen-Reinette, Cox's Pomeranzen Pepping, Cox's Pomeranzen-pepping, Coxova Reneta, Kemp's Orange, Kempe's Orange, Koksa Pomaranczowa, Koksova oranjeva reneta, Orange de Cox, Oranjevii renet, Peppeling Cox Orange, Pomaranczowe Coxa, Reinette Cox's Orangen, Reinette Orange, Reinette Orange de Cox, Renet Coksa, Renet Cox Portocaliu, Renet Coxa, Renet Portocaliu, Reneta Coxa pomaranzowa, Russet Pippin, Verbesserte Muscat Reinette, Verbesserte Muscat-Reinette	Material available from the National Fruit Collection.	Truncate conical	medium	56.00	62.00	absent	Yellow	Brown	striped			""				
Cox's Orange Pippin (Potter)	A red sport of Cox's Orange Pippin. Received by the National Fruit Trials in 1957. Originated with Mr C.A. Potter, Howletts Farm, Molash, Canterbury, Kent. Fruits have firm, fine-textured, juicy flesh with a rich, aromatic flavour.	Cox's Orange Pippin (Potter)	Material available from the National Fruit Collection.		medium									6th May10% flowering, 11th MayFull (80%) flowering, 18th May90% petal fall	Late September			
Cox's Orange Pippin (Vinson)	Availability		Material available from the National Fruit Collection.											""				
Cox's Orange Pippin (Wisley)	Raised in about 1825 by Richard Cox at Colnbrook Lawn, Slough, Buckinghamshire and introduced by Charles Turner in about 1850. It received a First Class Certificate from the Royal Horticultural Society in 1962. Fruits are juicy and sweet with a rich, aromatic, nutty flavour.	Apelsinnyi renet, Aranciata di Cox, Cos Orange, Cox, Cox Narancs Renet, Cox Orange, Cox Orange Pippin, Cox Orangen Pippin, Cox Orangen Reinette, Cox Orangen Renette, Cox' Orangen, Cox' Orangen-renette, Cox's Orange, Cox's Orange Pepping, Cox's Orange Reinette, Cox's Orange-Peppin, Cox's Orange-Pippeling, Cox's Orangen Pippin, Cox's Orangen Reinette, Cox's Orangen-Reinette, Cox's Pomeranzen Pepping, Cox's Pomeranzen-pepping, Coxova Reneta, Kemp's Orange, Kempe's Orange, Koksa Pomaranczowa, Koksova oranjeva reneta, Orange de Cox, Oranjevii renet, Peppeling Cox Orange, Pomaranczowe Coxa, Reinette Cox's Orangen, Reinette Orange, Reinette Orange de Cox, Renet Coksa, Renet Cox Portocaliu, Renet Coxa, Renet Portocaliu, Reneta Coxa pomaranzowa, Russet Pippin, Verbesserte Muscat Reinette, Verbesserte Muscat-Reinette	Material available from the National Fruit Collection.	Truncate conical	medium	56.00	62.00	absent	Yellow	Brown	striped			""				
Cox's Orange Pippin spur type (Alof M27)	Availability		Material available from the National Fruit Collection.											""				
Cox's Pomona	Believed to be a sister seedling of Cox's Orange Pippin. It was raised in about 1825 by Richard Cox at Colnbrook Lawn, Slough, Buckinghamshire and introduced by Smale, Colnbrook Nursery, Slough. Fruits have softish, coarse-textured, juicy flesh with a sweet, subacid, fine flavour.	Cox Pomona, Coxovo jablko, Dean's Codlin, Fearn's, Fearn's Apple, Higg's Seedling, Hill's Seedling, Pomona, Pomona de Cox, Pomona Koksa, Royal Portugee	Material available from the National Fruit Collection.	Broad globose conical	large	62.00	75.00	medium	Green yellow	Red	striped/mottled		Cream	9th May10% flowering, 14th MayFull (80%) flowering, 23rd May90% petal fall	Mid September			
Coxstone	Availability		Material available from the National Fruit Collection.	Flat globose	medium	54.00	62.00	medium-strong	Green yellow	Red	striped		Cream	6th May10% flowering, 11th MayFull (80%) flowering, 18th May90% petal fall	Mid September	very low		coarse
Craciunesti	Availability		Material available from the National Fruit Collection.	Broad globose conical	small-medium			weak	Green yellow	Orange			Yellowish	30th April10% flowering, 5th MayFull (80%) flowering, 13th May90% petal fall	Late September	low-medium	very weak	fine
Craggy's Seedling	Synonyms:	Craggie's Seedling	Material available from the National Fruit Collection.	Globose conical	large	69.72	72.22	medium	Green yellow	Red				1st May10% flowering, 3rd MayFull (80%) flowering, 12th May90% petal fall	Late September	low	medium-strong	
Cravert	A chance seedling discovered in about 1870 or earlier, either in a field of the Depigny family or in the forest of Allogny, France. Fruits have firm flesh with a sweet flavour.	Cra Vert, Cravert Vert	Material available from the National Fruit Collection.	Globose conical	medium			weak-medium	Whitish green	n/a			Cream	24th May10% flowering, 29th MayFull (80%) flowering, 6th June90% petal fall	Late October	low	weak-medium	
Cravert Rouge	A more highly coloured sport of Cravert. Originated in Cher, France. Fruits have a sweet subacid flavour.	Cravert Rose	Material available from the National Fruit Collection.	Conical	medium	50.00	62.00	medium	Yellow	Brown			Greenish	23rd May10% flowering, 28th MayFull (80%) flowering, 4th June90% petal fall	Late October			
Crawley Beauty (LA 65A)	Found in a cottage garden in Crawley, Sussex in about 1870 and introduced in 1906 by nurserymen J. Cheal & Sons of Crawley. It appears to be identical with French variety Novelle France. Received an Award of Merit from the Royal Horticultural Society in 1912. Fruits have slightly coarse-textured, rather dry flesh with a subacid, slightly sweet flavour.	Ratcliff Sargeant, Ratcliffe Sargeant	Material available from the National Fruit Collection.	Broad globose conical	medium-large	53.00	70.00	absent	Yellow	Orange	striped	crisp	White	24th May10% flowering, 29th MayFull (80%) flowering, 6th June90% petal fall	Mid October			coarse
Crawley Reinette	Introduced by J. Cheal & Sons, Crawley, Sussex. Recorded in 1902. Fruits have soft flesh with an acid to subacid flavour.		Material available from the National Fruit Collection.	Truncate conical	large	62.00	75.00	medium	Yellow	Orange	striped		Greenish	10th May10% flowering, 15th MayFull (80%) flowering, 23rd May90% petal fall	Mid October			
Cretesc de Breaza	Availability		Material available from the National Fruit Collection.	Oblong	small-medium			weak	Yellow	n/a		crisp	White	19th May10% flowering, 23rd MayFull (80%) flowering, 30th May90% petal fall	Late October	low	very weak	fine
Cretesc Rosu	Availability		Material available from the National Fruit Collection.	Broad globose conical	medium-large			weak-medium	Whitish yellow	Orange			Yellowish	3rd May10% flowering, 10th MayFull (80%) flowering, 16th May90% petal fall	Late October	very low	very weak	
Crimson Beauty (Canada)	Originated in about 1880 in New Brunswick, Canada. Fruits have rather soft flesh with a subacid to acid flavour.	Early Red Bird	Material available from the National Fruit Collection.	Oblong	medium	51.00	64.00	weak-medium	Green yellow	Red	striped		Greenish	27th April10% flowering, 4th MayFull (80%) flowering, 12th May90% petal fall	Early August			
Crimson Beauty of Bath (LA 65A)	A more highly coloured clone of Beauty of Bath. Fruits have soft, juicy flesh with a distinctive slightly acid flavour.		Material available from the National Fruit Collection.	Flat	medium			very weak	Yellow	Red			Yellowish	4th May10% flowering, 9th MayFull (80%) flowering, 17th May90% petal fall	Early August		very weak	
Crimson Bramley	A more highly coloured sport of Bramley's Seedling. Originated in Southwell, Nottinghamshire. Catalogued in 1913. Fruits have firm, coarse-textured, juicy flesh with an acid flavour. Cooks well.	Bramley's Seedling Red, Red Bramley's Seedling	Material available from the National Fruit Collection.	Flat	large-very large	73.03	93.63	weak-medium	Green yellow	Orange			Cream	6th May10% flowering, 12th MayFull (80%) flowering, 18th May90% petal fall	Early October	very low	weak	
Crimson Cox	A crimson coloured clone of Cox's Orange Pippin. Discovered in about 1913 by John Harris of Haynes Farm, Carey, Herefordshire. Introduced in 1928. Fruit flavour is reputed to be inferior to Cox's Orange Pippin.	Rod Cox's Orange, Rode Cox	Material available from the National Fruit Collection.		medium									6th May10% flowering, 11th MayFull (80%) flowering, 18th May90% petal fall	Late September			
Crimson King	Exhibited from Somerset in 1934. First recorded in 1895. Triploid. The large fruits are sometimes used for cooking as well as for cider production. Produces a vintage, acidic juice with no astringency and a light, fruity, good quality cider.		Material available from the National Fruit Collection.	Conical	medium				Yellow	Red	striped			3rd May10% flowering, 8th MayFull (80%) flowering, 17th May90% petal fall	Early September			
Crimson Newton	A more highly coloured sport of Newton Wonder being almost entirely flushed dull dark crimson. Originated in 1921 with C.H. Dicker, Holwell Bury Fruit Farm, Hertfordshire. Fruits cook very well.	Crimson Newton Wonder, Red Newton	Material available from the National Fruit Collection.											9th May10% flowering, 14th MayFull (80%) flowering, 22nd May90% petal fall	Mid October			
Crimson Peasgood	A more highly coloured sport of Peasgood's Nonsuch. It was planted at the National Fruit Trials in 1931. Fruits cook well.	Crimson Peasgood's Nonsuch, Crimson Peasgoods	Material available from the National Fruit Collection.											6th May10% flowering, 11th MayFull (80%) flowering, 19th May90% petal fall	Mid September			
Crimson Queening	First recorded in 1831 but thought to probably be much older. Fruits have soft, dryish flesh which soon becomes mealy. Moderate flavour.	Crimson Quoining, Herefordshire Queening, Quining, Red Queening, Scarlet Queening, Summer Queening, Summer Quoining	Material available from the National Fruit Collection.	Globose conical	large	72.47	73.33	strong	Green yellow	Red			Cream	10th May10% flowering, 15th MayFull (80%) flowering, 22nd May90% petal fall	Early September	low	medium	
Crimson Spy	Thought to be a bud mutation of Northern Spy having an almost solid crimson skin. Originated in Ontario, Canada and introduced in 1931. Fruits have firm, fine-textured, juicy flesh with a sweet and pleasant flavour.		Material available from the National Fruit Collection.											14th May10% flowering, 17th MayFull (80%) flowering, 23rd May90% petal fall	Mid October			
Crimson Superb (LA 73A)	A more highly coloured sport of Laxton's Superb. It originated with J. Anderson, School House, Hutton Cranswick, Driffield, Yorkshire. First exhibited in 1950. Fruits have firm, fine-textured juicy flesh with a sweet and pleasant flavour.		Material available from the National Fruit Collection.											8th May10% flowering, 12th MayFull (80%) flowering, 19th May90% petal fall	Early October			
Criterion	Discovered in 1968 by Francis Cites in his Parker Heights orchard, near Wapato, Washington, USA. Fruits are firm, crisp and sweet with a good flavour.		Material available from the National Fruit Collection.	Globose conical	large	67.58	72.20	weak-medium	Green yellow	Orange			Cream	14th May10% flowering, 18th MayFull (80%) flowering, 23rd May90% petal fall	Mid October	low	strong	coarse
